"Airport","DayOfMonth","prcp"
"ATL",1,0
"ATL",2,43
"ATL",3,135
"ATL",4,3
"ATL",5,10
"ATL",6,46
"ATL",7,51
"ATL",8,33
"ATL",9,254
"ATL",10,46
"ATL",11,0
"ATL",12,0
"ATL",13,0
"ATL",14,137
"ATL",15,3
"ATL",16,0
"ATL",17,0
"ATL",18,0
"ATL",19,0
"ATL",20,0
"ATL",21,0
"ATL",22,792
"ATL",23,20
"ATL",24,0
"ATL",25,0
"ATL",26,0
"ATL",27,0
"ATL",28,358
"ATL",29,51
"ATL",30,0
"ATL",31,0
"BOS",1,69
"BOS",2,0
"BOS",3,0
"BOS",4,0
"BOS",5,3
"BOS",6,76
"BOS",7,23
"BOS",8,0
"BOS",9,109
"BOS",10,18
"BOS",11,0
"BOS",12,0
"BOS",13,0
"BOS",14,56
"BOS",15,163
"BOS",16,0
"BOS",17,135
"BOS",18,0
"BOS",19,0
"BOS",20,0
"BOS",21,0
"BOS",22,3
"BOS",23,173
"BOS",24,0
"BOS",25,0
"BOS",26,13
"BOS",27,0
"BOS",28,0
"BOS",29,335
"BOS",30,0
"BOS",31,0
"CLT",1,0
"CLT",2,0
"CLT",3,3
"CLT",4,5
"CLT",5,94
"CLT",6,0
"CLT",7,10
"CLT",8,10
"CLT",9,79
"CLT",10,36
"CLT",11,0
"CLT",12,0
"CLT",13,0
"CLT",14,251
"CLT",15,3
"CLT",16,0
"CLT",17,0
"CLT",18,0
"CLT",19,0
"CLT",20,0
"CLT",21,0
"CLT",22,366
"CLT",23,490
"CLT",24,0
"CLT",25,0
"CLT",26,0
"CLT",27,0
"CLT",28,3
"CLT",29,462
"CLT",30,0
"CLT",31,0
"DEN",1,0
"DEN",2,0
"DEN",3,3
"DEN",4,28
"DEN",5,0
"DEN",6,0
"DEN",7,0
"DEN",8,5
"DEN",9,0
"DEN",10,0
"DEN",11,0
"DEN",12,0
"DEN",13,0
"DEN",14,0
"DEN",15,0
"DEN",16,0
"DEN",17,0
"DEN",18,0
"DEN",19,0
"DEN",20,0
"DEN",21,8
"DEN",22,5
"DEN",23,5
"DEN",24,0
"DEN",25,0
"DEN",26,0
"DEN",27,0
"DEN",28,10
"DEN",29,0
"DEN",30,0
"DEN",31,0
"DFW",1,0
"DFW",2,0
"DFW",3,0
"DFW",4,0
"DFW",5,102
"DFW",6,216
"DFW",7,0
"DFW",8,0
"DFW",9,0
"DFW",10,0
"DFW",11,0
"DFW",12,0
"DFW",13,3
"DFW",14,0
"DFW",15,0
"DFW",16,0
"DFW",17,0
"DFW",18,0
"DFW",19,0
"DFW",20,5
"DFW",21,376
"DFW",22,0
"DFW",23,0
"DFW",24,0
"DFW",25,0
"DFW",26,0
"DFW",27,0
"DFW",28,0
"DFW",29,0
"DFW",30,0
"DFW",31,0
"DTW",1,0
"DTW",2,0
"DTW",3,23
"DTW",4,0
"DTW",5,0
"DTW",6,0
"DTW",7,0
"DTW",8,8
"DTW",9,10
"DTW",10,0
"DTW",11,3
